pillar,period,pain_point,count
skincare,2020-08-17,Packaging,0
skincare,2020-08-17,Quality,0
skincare,2020-08-17,Availability,0
skincare,2020-08-17,Sustainability,0
skincare,2020-08-17,Compatibility,1
skincare,2020-08-24,Price,0
skincare,2020-08-24,Packaging,0
skincare,2020-08-24,Quality,0
skincare,2020-08-24,Availability,0
skincare,2020-08-24,Sustainability,1
skincare,2020-08-24,Compatibility,6
skincare,2020-08-31,Price,1
skincare,2020-08-31,Packaging,0
skincare,2020-08-31,Quality,1
skincare,2020-08-31,Availability,0
skincare,2020-08-31,Sustainability,0
skincare,2020-08-31,Compatibility,3
skincare,2020-09-07,Price,0
skincare,2020-09-07,Packaging,0
skincare,2020-09-07,Quality,0
skincare,2020-09-07,Availability,0
skincare,2020-09-07,Sustainability,0
skincare,2020-09-07,Compatibility,2
skincare,2020-09-14,Price,0
skincare,2020-09-14,Packaging,0
skincare,2020-09-14,Quality,2
skincare,2020-09-14,Availability,0
skincare,2020-09-14,Sustainability,0
skincare,2020-09-14,Compatibility,11
skincare,2020-09-21,Price,0
skincare,2020-09-21,Packaging,0
skincare,2020-09-21,Quality,0
skincare,2020-09-21,Availability,0
skincare,2020-09-21,Sustainability,0
skincare,2020-09-21,Compatibility,2
skincare,2020-09-28,Price,0
skincare,2020-09-28,Packaging,0
skincare,2020-09-28,Quality,1
skincare,2020-09-28,Availability,0
skincare,2020-09-28,Sustainability,0
skincare,2020-09-28,Compatibility,0
skincare,2020-10-05,Price,0
skincare,2020-10-05,Packaging,0
skincare,2020-10-05,Quality,4
skincare,2020-10-05,Availability,0
skincare,2020-10-05,Sustainability,0
skincare,2020-10-05,Compatibility,4
skincare,2020-10-12,Price,4
skincare,2020-10-12,Packaging,0
skincare,2020-10-12,Quality,15
skincare,2020-10-12,Availability,0
skincare,2020-10-12,Sustainability,0
skincare,2020-10-12,Compatibility,14
skincare,2020-10-19,Price,2
skincare,2020-10-19,Packaging,1
skincare,2020-10-19,Quality,4
skincare,2020-10-19,Availability,0
skincare,2020-10-19,Sustainability,0
skincare,2020-10-19,Compatibility,7
skincare,2020-10-26,Price,0
skincare,2020-10-26,Packaging,0
skincare,2020-10-26,Quality,1
skincare,2020-10-26,Availability,0
skincare,2020-10-26,Sustainability,0
skincare,2020-10-26,Compatibility,5
skincare,2020-11-02,Price,0
skincare,2020-11-02,Packaging,0
skincare,2020-11-02,Quality,1
skincare,2020-11-02,Availability,0
skincare,2020-11-02,Sustainability,0
skincare,2020-11-02,Compatibility,2
skincare,2020-11-09,Price,0
skincare,2020-11-09,Packaging,1
skincare,2020-11-09,Quality,4
skincare,2020-11-09,Availability,0
skincare,2020-11-09,Sustainability,0
skincare,2020-11-09,Compatibility,9
skincare,2020-11-16,Price,1
skincare,2020-11-16,Packaging,1
skincare,2020-11-16,Quality,2
skincare,2020-11-16,Availability,0
skincare,2020-11-16,Sustainability,0
skincare,2020-11-16,Compatibility,7
skincare,2020-11-23,Price,0
skincare,2020-11-23,Packaging,0
skincare,2020-11-23,Quality,4
skincare,2020-11-23,Availability,1
skincare,2020-11-23,Sustainability,0
skincare,2020-11-23,Compatibility,7
skincare,2020-11-30,Price,0
skincare,2020-11-30,Packaging,0
skincare,2020-11-30,Quality,2
skincare,2020-11-30,Availability,0
skincare,2020-11-30,Sustainability,0
skincare,2020-11-30,Compatibility,3
skincare,2020-12-07,Price,2
skincare,2020-12-07,Packaging,0
skincare,2020-12-07,Quality,4
skincare,2020-12-07,Availability,0
skincare,2020-12-07,Sustainability,0
skincare,2020-12-07,Compatibility,4
skincare,2020-12-14,Price,0
skincare,2020-12-14,Packaging,0
skincare,2020-12-14,Quality,2
skincare,2020-12-14,Availability,0
skincare,2020-12-14,Sustainability,0
skincare,2020-12-14,Compatibility,8
skincare,2020-12-21,Price,0
skincare,2020-12-21,Packaging,0
skincare,2020-12-21,Quality,0
skincare,2020-12-21,Availability,0
skincare,2020-12-21,Sustainability,0
skincare,2020-12-21,Compatibility,9
skincare,2020-12-28,Price,2
skincare,2020-12-28,Packaging,1
skincare,2020-12-28,Quality,1
skincare,2020-12-28,Availability,0
skincare,2020-12-28,Sustainability,0
skincare,2020-12-28,Compatibility,6
skincare,2021-01-04,Price,0
skincare,2021-01-04,Packaging,1
skincare,2021-01-04,Quality,4
skincare,2021-01-04,Availability,0
skincare,2021-01-04,Sustainability,0
skincare,2021-01-04,Compatibility,1
skincare,2021-01-11,Price,0
skincare,2021-01-11,Packaging,0
skincare,2021-01-11,Quality,6
skincare,2021-01-11,Availability,0
skincare,2021-01-11,Sustainability,0
skincare,2021-01-11,Compatibility,3
skincare,2021-01-18,Price,0
skincare,2021-01-18,Packaging,0
skincare,2021-01-18,Quality,1
skincare,2021-01-18,Availability,0
skincare,2021-01-18,Sustainability,0
skincare,2021-01-18,Compatibility,5
skincare,2021-01-25,Price,0
skincare,2021-01-25,Packaging,1
skincare,2021-01-25,Quality,2
skincare,2021-01-25,Availability,0
skincare,2021-01-25,Sustainability,0
skincare,2021-01-25,Compatibility,17
skincare,2021-02-01,Price,1
skincare,2021-02-01,Packaging,1
skincare,2021-02-01,Quality,6
skincare,2021-02-01,Availability,0
skincare,2021-02-01,Sustainability,0
skincare,2021-02-01,Compatibility,8
skincare,2021-02-08,Price,0
skincare,2021-02-08,Packaging,0
skincare,2021-02-08,Quality,0
skincare,2021-02-08,Availability,0
skincare,2021-02-08,Sustainability,0
skincare,2021-02-08,Compatibility,4
skincare,2021-02-15,Price,0
skincare,2021-02-15,Packaging,0
skincare,2021-02-15,Quality,4
skincare,2021-02-15,Availability,0
skincare,2021-02-15,Sustainability,0
skincare,2021-02-15,Compatibility,3
skincare,2021-02-22,Price,0
skincare,2021-02-22,Packaging,0
skincare,2021-02-22,Quality,0
skincare,2021-02-22,Availability,0
skincare,2021-02-22,Sustainability,0
skincare,2021-02-22,Compatibility,5
skincare,2021-03-01,Price,0
skincare,2021-03-01,Packaging,0
skincare,2021-03-01,Quality,5
skincare,2021-03-01,Availability,1
skincare,2021-03-01,Sustainability,0
skincare,2021-03-01,Compatibility,10
